CV (%);MAD
1355.42;21
120.125;17
205.577;22
1355.42;21
120.125;17
205.577;22
1355.42;21
120.125;17
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-75.8904;15
-813.863;18
151.044;20
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-315.264;22
722.531;22
192.312;31
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-121.487;20
1971.75;23
141.488;22
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
-1389.84;23
509.116;21
-18360.8;37
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
141.353;24
299.197;24
151.996;21
